csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,oda,ocid,item.ocid,string,Yes,oci.oda.list_imported_packages,read_list,Yes,oci.oda.list_imported_packages,oci.oda.list_imported_packages,1,0,oci.oda.list_imported_packages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,OdaClient().list_imported_packages(compartment_id=compartment_id).data,/20160918/importedPackages
oci,oda,compartment_id,item.compartment_id,string,Yes,oci.oda.list_packages,read_list,Yes,oci.oda.list_packages,oci.oda.list_packages,1,0,oci.oda.list_packages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,OdaClient().list_packages(compartment_id=compartment_id).data,/20160918/packages
oci,oda,imported_package.name,item.imported_package.name,string,No,oci.oda.get_imported_package,read_get,No,oci.oda.list_imported_packages,oci.oda.list_imported_packages → oci.oda.get_imported_package,2,1,oci.oda.list_imported_packages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.oda.get_imported_package[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"OdaClient().get_imported_package(compartment_id=compartment_id, imported_package_id=imported_package_id).data",/20160918/importedPackages/{ImportedPackageId}
oci,oda,imported_package.status,item.imported_package.status,string,No,oci.oda.get_imported_package,read_get,No,oci.oda.list_imported_packages,oci.oda.list_imported_packages → oci.oda.get_imported_package,2,1,oci.oda.list_imported_packages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.oda.get_imported_package[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"OdaClient().get_imported_package(compartment_id=compartment_id, imported_package_id=imported_package_id).data",/20160918/importedPackages/{ImportedPackageId}
oci,oda,imported_package.time_created,item.imported_package.time_created,string,No,oci.oda.get_imported_package,read_get,No,oci.oda.list_imported_packages,oci.oda.list_imported_packages → oci.oda.get_imported_package,2,1,oci.oda.list_imported_packages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.oda.get_imported_package[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"OdaClient().get_imported_package(compartment_id=compartment_id, imported_package_id=imported_package_id).data",/20160918/importedPackages/{ImportedPackageId}
oci,oda,imported_package.freeform_tags,item.imported_package.freeform_tags,object,No,oci.oda.get_imported_package,read_get,No,oci.oda.list_imported_packages,oci.oda.list_imported_packages → oci.oda.get_imported_package,2,1,oci.oda.list_imported_packages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.oda.get_imported_package[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","OdaClient().get_imported_package(compartment_id=compartment_id, imported_package_id=imported_package_id).data",/20160918/importedPackages/{ImportedPackageId}
oci,oda,imported_package.defined_tags,item.imported_package.defined_tags,object,No,oci.oda.get_imported_package,read_get,No,oci.oda.list_imported_packages,oci.oda.list_imported_packages → oci.oda.get_imported_package,2,1,oci.oda.list_imported_packages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.oda.get_imported_package[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","OdaClient().get_imported_package(compartment_id=compartment_id, imported_package_id=imported_package_id).data",/20160918/importedPackages/{ImportedPackageId}
oci,oda,package.name,item.package.name,string,No,oci.oda.get_package,read_get,No,oci.oda.list_packages,oci.oda.list_packages → oci.oda.get_package,2,1,oci.oda.list_packages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.oda.get_package[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"OdaClient().get_package(compartment_id=compartment_id, package_id=package_id).data",/20160918/packages/{PackageId}
oci,oda,package.status,item.package.status,string,No,oci.oda.get_package,read_get,No,oci.oda.list_packages,oci.oda.list_packages → oci.oda.get_package,2,1,oci.oda.list_packages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.oda.get_package[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"OdaClient().get_package(compartment_id=compartment_id, package_id=package_id).data",/20160918/packages/{PackageId}
oci,oda,package.time_created,item.package.time_created,string,No,oci.oda.get_package,read_get,No,oci.oda.list_packages,oci.oda.list_packages → oci.oda.get_package,2,1,oci.oda.list_packages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.oda.get_package[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"OdaClient().get_package(compartment_id=compartment_id, package_id=package_id).data",/20160918/packages/{PackageId}
