csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,osub_usage,ocid,item.ocid,string,Yes,oci.osub_usage.list_computed_usage_aggregateds,read_list,Yes,oci.osub_usage.list_computed_usage_aggregateds,oci.osub_usage.list_computed_usage_aggregateds,1,0,oci.osub_usage.list_computed_usage_aggregateds[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,OsubUsageClient().list_computed_usage_aggregateds(compartment_id=compartment_id).data,/20160918/computedUsageAggregateds
oci,osub_usage,compartment_id,item.compartment_id,string,Yes,oci.osub_usage.list_computed_usage_aggregateds,read_list,Yes,oci.osub_usage.list_computed_usage_aggregateds,oci.osub_usage.list_computed_usage_aggregateds,1,0,oci.osub_usage.list_computed_usage_aggregateds[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,OsubUsageClient().list_computed_usage_aggregateds(compartment_id=compartment_id).data,/20160918/computedUsageAggregateds
oci,osub_usage,computed_usage.name,item.computed_usage.name,string,No,oci.osub_usage.get_computed_usage,read_get,No,oci.osub_usage.list_computed_usages,oci.osub_usage.list_computed_usages → oci.osub_usage.get_computed_usage,2,1,oci.osub_usage.list_computed_usages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.osub_usage.get_computed_usage[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"OsubUsageClient().get_computed_usage(compartment_id=compartment_id, computed_usage_id=computed_usage_id).data",/20160918/computedUsages/{ComputedUsageId}
oci,osub_usage,computed_usage.status,item.computed_usage.status,string,No,oci.osub_usage.get_computed_usage,read_get,No,oci.osub_usage.list_computed_usages,oci.osub_usage.list_computed_usages → oci.osub_usage.get_computed_usage,2,1,oci.osub_usage.list_computed_usages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.osub_usage.get_computed_usage[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"OsubUsageClient().get_computed_usage(compartment_id=compartment_id, computed_usage_id=computed_usage_id).data",/20160918/computedUsages/{ComputedUsageId}
oci,osub_usage,computed_usage.time_created,item.computed_usage.time_created,string,No,oci.osub_usage.get_computed_usage,read_get,No,oci.osub_usage.list_computed_usages,oci.osub_usage.list_computed_usages → oci.osub_usage.get_computed_usage,2,1,oci.osub_usage.list_computed_usages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.osub_usage.get_computed_usage[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"OsubUsageClient().get_computed_usage(compartment_id=compartment_id, computed_usage_id=computed_usage_id).data",/20160918/computedUsages/{ComputedUsageId}
oci,osub_usage,computed_usage.freeform_tags,item.computed_usage.freeform_tags,object,No,oci.osub_usage.get_computed_usage,read_get,No,oci.osub_usage.list_computed_usages,oci.osub_usage.list_computed_usages → oci.osub_usage.get_computed_usage,2,1,oci.osub_usage.list_computed_usages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.osub_usage.get_computed_usage[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","OsubUsageClient().get_computed_usage(compartment_id=compartment_id, computed_usage_id=computed_usage_id).data",/20160918/computedUsages/{ComputedUsageId}
oci,osub_usage,computed_usage.defined_tags,item.computed_usage.defined_tags,object,No,oci.osub_usage.get_computed_usage,read_get,No,oci.osub_usage.list_computed_usages,oci.osub_usage.list_computed_usages → oci.osub_usage.get_computed_usage,2,1,oci.osub_usage.list_computed_usages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.osub_usage.get_computed_usage[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","OsubUsageClient().get_computed_usage(compartment_id=compartment_id, computed_usage_id=computed_usage_id).data",/20160918/computedUsages/{ComputedUsageId}
oci,osub_usage,computed_usage_aggregated.name,item.computed_usage_aggregated.name,string,No,oci.osub_usage.list_computed_usage_aggregateds,read_list,Yes,oci.osub_usage.list_computed_usage_aggregateds,oci.osub_usage.list_computed_usage_aggregateds,1,0,oci.osub_usage.list_computed_usage_aggregateds[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,OsubUsageClient().list_computed_usage_aggregateds(compartment_id=compartment_id).data,/20160918/computedUsageAggregateds
oci,osub_usage,computed_usage_aggregated.status,item.computed_usage_aggregated.status,string,No,oci.osub_usage.list_computed_usage_aggregateds,read_list,Yes,oci.osub_usage.list_computed_usage_aggregateds,oci.osub_usage.list_computed_usage_aggregateds,1,0,oci.osub_usage.list_computed_usage_aggregateds[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,OsubUsageClient().list_computed_usage_aggregateds(compartment_id=compartment_id).data,/20160918/computedUsageAggregateds
oci,osub_usage,computed_usage_aggregated.time_created,item.computed_usage_aggregated.time_created,string,No,oci.osub_usage.list_computed_usage_aggregateds,read_list,Yes,oci.osub_usage.list_computed_usage_aggregateds,oci.osub_usage.list_computed_usage_aggregateds,1,0,oci.osub_usage.list_computed_usage_aggregateds[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,OsubUsageClient().list_computed_usage_aggregateds(compartment_id=compartment_id).data,/20160918/computedUsageAggregateds
oci,osub_usage,computed_usage_aggregated.freeform_tags,item.computed_usage_aggregated.freeform_tags,object,No,oci.osub_usage.list_computed_usage_aggregateds,read_list,Yes,oci.osub_usage.list_computed_usage_aggregateds,oci.osub_usage.list_computed_usage_aggregateds,1,0,oci.osub_usage.list_computed_usage_aggregateds[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",OsubUsageClient().list_computed_usage_aggregateds(compartment_id=compartment_id).data,/20160918/computedUsageAggregateds
oci,osub_usage,computed_usage_aggregated.defined_tags,item.computed_usage_aggregated.defined_tags,object,No,oci.osub_usage.list_computed_usage_aggregateds,read_list,Yes,oci.osub_usage.list_computed_usage_aggregateds,oci.osub_usage.list_computed_usage_aggregateds,1,0,oci.osub_usage.list_computed_usage_aggregateds[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",OsubUsageClient().list_computed_usage_aggregateds(compartment_id=compartment_id).data,/20160918/computedUsageAggregateds
oci,osub_usage,computed_usag.name,item.computed_usag.name,string,No,oci.osub_usage.list_computed_usages,read_list,Yes,oci.osub_usage.list_computed_usages,oci.osub_usage.list_computed_usages,1,0,oci.osub_usage.list_computed_usages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,OsubUsageClient().list_computed_usages(compartment_id=compartment_id).data,/20160918/computedUsages
oci,osub_usage,computed_usag.status,item.computed_usag.status,string,No,oci.osub_usage.list_computed_usages,read_list,Yes,oci.osub_usage.list_computed_usages,oci.osub_usage.list_computed_usages,1,0,oci.osub_usage.list_computed_usages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,OsubUsageClient().list_computed_usages(compartment_id=compartment_id).data,/20160918/computedUsages
oci,osub_usage,computed_usag.time_created,item.computed_usag.time_created,string,No,oci.osub_usage.list_computed_usages,read_list,Yes,oci.osub_usage.list_computed_usages,oci.osub_usage.list_computed_usages,1,0,oci.osub_usage.list_computed_usages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,OsubUsageClient().list_computed_usages(compartment_id=compartment_id).data,/20160918/computedUsages
oci,osub_usage,computed_usag.freeform_tags,item.computed_usag.freeform_tags,object,No,oci.osub_usage.list_computed_usages,read_list,Yes,oci.osub_usage.list_computed_usages,oci.osub_usage.list_computed_usages,1,0,oci.osub_usage.list_computed_usages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",OsubUsageClient().list_computed_usages(compartment_id=compartment_id).data,/20160918/computedUsages
oci,osub_usage,computed_usag.defined_tags,item.computed_usag.defined_tags,object,No,oci.osub_usage.list_computed_usages,read_list,Yes,oci.osub_usage.list_computed_usages,oci.osub_usage.list_computed_usages,1,0,oci.osub_usage.list_computed_usages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",OsubUsageClient().list_computed_usages(compartment_id=compartment_id).data,/20160918/computedUsages
