csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,streaming,ocid,item.ocid,string,Yes,oci.streaming.list_streams,read_list,Yes,oci.streaming.list_streams,oci.streaming.list_streams,1,0,oci.streaming.list_streams[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|partitions|... +1],"equals, exists, not_equals",exists,StreamingClient().list_streams(compartment_id=compartment_id).data,/20180418/streams
oci,streaming,compartment_id,item.compartment_id,string,Yes,oci.streaming.list_streams,read_list,Yes,oci.streaming.list_streams,oci.streaming.list_streams,1,0,oci.streaming.list_streams[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|partitions|... +1],"equals, exists, not_equals",exists,StreamingClient().list_streams(compartment_id=compartment_id).data,/20180418/streams
oci,streaming,group.name,item.group.name,string,No,oci.streaming.get_group,read_get,No,oci.streaming.get_group,oci.streaming.get_group,1,0,oci.streaming.get_group[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"StreamingClient().get_group(compartment_id=compartment_id, group_id=group_id).data",/20180418/groups/{GroupId}
oci,streaming,group.status,item.group.status,string,No,oci.streaming.get_group,read_get,No,oci.streaming.get_group,oci.streaming.get_group,1,0,oci.streaming.get_group[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"StreamingClient().get_group(compartment_id=compartment_id, group_id=group_id).data",/20180418/groups/{GroupId}
oci,streaming,group.time_created,item.group.time_created,string,No,oci.streaming.get_group,read_get,No,oci.streaming.get_group,oci.streaming.get_group,1,0,oci.streaming.get_group[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"StreamingClient().get_group(compartment_id=compartment_id, group_id=group_id).data",/20180418/groups/{GroupId}
oci,streaming,group.freeform_tags,item.group.freeform_tags,object,No,oci.streaming.get_group,read_get,No,oci.streaming.get_group,oci.streaming.get_group,1,0,oci.streaming.get_group[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","StreamingClient().get_group(compartment_id=compartment_id, group_id=group_id).data",/20180418/groups/{GroupId}
oci,streaming,group.defined_tags,item.group.defined_tags,object,No,oci.streaming.get_group,read_get,No,oci.streaming.get_group,oci.streaming.get_group,1,0,oci.streaming.get_group[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","StreamingClient().get_group(compartment_id=compartment_id, group_id=group_id).data",/20180418/groups/{GroupId}
oci,streaming,messag.name,item.messag.name,string,No,oci.streaming.get_messages,read_get,No,oci.streaming.get_messages,oci.streaming.get_messages,1,0,oci.streaming.get_messages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"StreamingClient().get_messages(compartment_id=compartment_id, messag_id=messag_id).data",/20180418/messages/{MessagesId}
oci,streaming,messag.status,item.messag.status,string,No,oci.streaming.get_messages,read_get,No,oci.streaming.get_messages,oci.streaming.get_messages,1,0,oci.streaming.get_messages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"StreamingClient().get_messages(compartment_id=compartment_id, messag_id=messag_id).data",/20180418/messages/{MessagesId}
oci,streaming,messag.time_created,item.messag.time_created,string,No,oci.streaming.get_messages,read_get,No,oci.streaming.get_messages,oci.streaming.get_messages,1,0,oci.streaming.get_messages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"StreamingClient().get_messages(compartment_id=compartment_id, messag_id=messag_id).data",/20180418/messages/{MessagesId}
