csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,threat_intelligence,ocid,item.ocid,string,Yes,oci.threat_intelligence.list_indicator_counts,read_list,Yes,oci.threat_intelligence.list_indicator_counts,oci.threat_intelligence.list_indicator_counts,1,0,oci.threat_intelligence.list_indicator_counts[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,ThreatIntelligenceClient().list_indicator_counts(compartment_id=compartment_id).data,/20160918/indicatorCounts
oci,threat_intelligence,compartment_id,item.compartment_id,string,Yes,oci.threat_intelligence.list_indicators,read_list,Yes,oci.threat_intelligence.list_indicators,oci.threat_intelligence.list_indicators,1,0,oci.threat_intelligence.list_indicators[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,ThreatIntelligenceClient().list_indicators(compartment_id=compartment_id).data,/20160918/indicators
oci,threat_intelligence,indicator.name,item.indicator.name,string,No,oci.threat_intelligence.list_indicators,read_list,Yes,oci.threat_intelligence.list_indicators,oci.threat_intelligence.list_indicators,1,0,oci.threat_intelligence.list_indicators[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,ThreatIntelligenceClient().list_indicators(compartment_id=compartment_id).data,/20160918/indicators
oci,threat_intelligence,indicator.status,item.indicator.status,string,No,oci.threat_intelligence.list_indicators,read_list,Yes,oci.threat_intelligence.list_indicators,oci.threat_intelligence.list_indicators,1,0,oci.threat_intelligence.list_indicators[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,ThreatIntelligenceClient().list_indicators(compartment_id=compartment_id).data,/20160918/indicators
oci,threat_intelligence,indicator.time_created,item.indicator.time_created,string,No,oci.threat_intelligence.list_indicators,read_list,Yes,oci.threat_intelligence.list_indicators,oci.threat_intelligence.list_indicators,1,0,oci.threat_intelligence.list_indicators[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,ThreatIntelligenceClient().list_indicators(compartment_id=compartment_id).data,/20160918/indicators
oci,threat_intelligence,indicator.freeform_tags,item.indicator.freeform_tags,object,No,oci.threat_intelligence.list_indicators,read_list,Yes,oci.threat_intelligence.list_indicators,oci.threat_intelligence.list_indicators,1,0,oci.threat_intelligence.list_indicators[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",ThreatIntelligenceClient().list_indicators(compartment_id=compartment_id).data,/20160918/indicators
oci,threat_intelligence,indicator.defined_tags,item.indicator.defined_tags,object,No,oci.threat_intelligence.list_indicators,read_list,Yes,oci.threat_intelligence.list_indicators,oci.threat_intelligence.list_indicators,1,0,oci.threat_intelligence.list_indicators[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",ThreatIntelligenceClient().list_indicators(compartment_id=compartment_id).data,/20160918/indicators
oci,threat_intelligence,indicator_count.name,item.indicator_count.name,string,No,oci.threat_intelligence.list_indicator_counts,read_list,Yes,oci.threat_intelligence.list_indicator_counts,oci.threat_intelligence.list_indicator_counts,1,0,oci.threat_intelligence.list_indicator_counts[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,ThreatIntelligenceClient().list_indicator_counts(compartment_id=compartment_id).data,/20160918/indicatorCounts
oci,threat_intelligence,indicator_count.status,item.indicator_count.status,string,No,oci.threat_intelligence.list_indicator_counts,read_list,Yes,oci.threat_intelligence.list_indicator_counts,oci.threat_intelligence.list_indicator_counts,1,0,oci.threat_intelligence.list_indicator_counts[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,ThreatIntelligenceClient().list_indicator_counts(compartment_id=compartment_id).data,/20160918/indicatorCounts
oci,threat_intelligence,indicator_count.time_created,item.indicator_count.time_created,string,No,oci.threat_intelligence.list_indicator_counts,read_list,Yes,oci.threat_intelligence.list_indicator_counts,oci.threat_intelligence.list_indicator_counts,1,0,oci.threat_intelligence.list_indicator_counts[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,ThreatIntelligenceClient().list_indicator_counts(compartment_id=compartment_id).data,/20160918/indicatorCounts
oci,threat_intelligence,indicator_count.freeform_tags,item.indicator_count.freeform_tags,object,No,oci.threat_intelligence.list_indicator_counts,read_list,Yes,oci.threat_intelligence.list_indicator_counts,oci.threat_intelligence.list_indicator_counts,1,0,oci.threat_intelligence.list_indicator_counts[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",ThreatIntelligenceClient().list_indicator_counts(compartment_id=compartment_id).data,/20160918/indicatorCounts
oci,threat_intelligence,indicator_count.defined_tags,item.indicator_count.defined_tags,object,No,oci.threat_intelligence.list_indicator_counts,read_list,Yes,oci.threat_intelligence.list_indicator_counts,oci.threat_intelligence.list_indicator_counts,1,0,oci.threat_intelligence.list_indicator_counts[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",ThreatIntelligenceClient().list_indicator_counts(compartment_id=compartment_id).data,/20160918/indicatorCounts
oci,threat_intelligence,threat_typ.name,item.threat_typ.name,string,No,oci.threat_intelligence.list_threat_types,read_list,Yes,oci.threat_intelligence.list_threat_types,oci.threat_intelligence.list_threat_types,1,0,oci.threat_intelligence.list_threat_types[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,ThreatIntelligenceClient().list_threat_types(compartment_id=compartment_id).data,/20160918/threatTypes
oci,threat_intelligence,threat_typ.status,item.threat_typ.status,string,No,oci.threat_intelligence.list_threat_types,read_list,Yes,oci.threat_intelligence.list_threat_types,oci.threat_intelligence.list_threat_types,1,0,oci.threat_intelligence.list_threat_types[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,ThreatIntelligenceClient().list_threat_types(compartment_id=compartment_id).data,/20160918/threatTypes
oci,threat_intelligence,threat_typ.time_created,item.threat_typ.time_created,string,No,oci.threat_intelligence.list_threat_types,read_list,Yes,oci.threat_intelligence.list_threat_types,oci.threat_intelligence.list_threat_types,1,0,oci.threat_intelligence.list_threat_types[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,ThreatIntelligenceClient().list_threat_types(compartment_id=compartment_id).data,/20160918/threatTypes
oci,threat_intelligence,threat_typ.freeform_tags,item.threat_typ.freeform_tags,object,No,oci.threat_intelligence.list_threat_types,read_list,Yes,oci.threat_intelligence.list_threat_types,oci.threat_intelligence.list_threat_types,1,0,oci.threat_intelligence.list_threat_types[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",ThreatIntelligenceClient().list_threat_types(compartment_id=compartment_id).data,/20160918/threatTypes
oci,threat_intelligence,threat_typ.defined_tags,item.threat_typ.defined_tags,object,No,oci.threat_intelligence.list_threat_types,read_list,Yes,oci.threat_intelligence.list_threat_types,oci.threat_intelligence.list_threat_types,1,0,oci.threat_intelligence.list_threat_types[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",ThreatIntelligenceClient().list_threat_types(compartment_id=compartment_id).data,/20160918/threatTypes
