csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,virtual_network,ocid,item.ocid,string,Yes,oci.virtual_network.list_allowed_peer_regions_for_remote_peering,read_list,Yes,oci.virtual_network.list_allowed_peer_regions_for_remote_peering,oci.virtual_network.list_allowed_peer_regions_for_remote_peering,1,0,oci.virtual_network.list_allowed_peer_regions_for_remote_peering[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,VirtualNetworkClient().list_allowed_peer_regions_for_remote_peering(compartment_id=compartment_id).data,/20160918/allowedPeerRegionsForRemotePeerings
oci,virtual_network,compartment_id,item.compartment_id,string,Yes,oci.virtual_network.list_dhcp_options,read_list,Yes,oci.virtual_network.list_dhcp_options,oci.virtual_network.list_dhcp_options,1,0,oci.virtual_network.list_dhcp_options[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,VirtualNetworkClient().list_dhcp_options(compartment_id=compartment_id).data,/20160918/dhcpOptions
oci,virtual_network,all_drg_attachment.name,item.all_drg_attachment.name,string,No,oci.virtual_network.get_all_drg_attachments,read_get,No,oci.virtual_network.get_all_drg_attachments,oci.virtual_network.get_all_drg_attachments,1,0,oci.virtual_network.get_all_drg_attachments[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"VirtualNetworkClient().get_all_drg_attachments(compartment_id=compartment_id, all_drg_attachment_id=all_drg_attachment_id).data",/20160918/allDrgAttachments/{AllDrgAttachmentsId}
oci,virtual_network,all_drg_attachment.status,item.all_drg_attachment.status,string,No,oci.virtual_network.get_all_drg_attachments,read_get,No,oci.virtual_network.get_all_drg_attachments,oci.virtual_network.get_all_drg_attachments,1,0,oci.virtual_network.get_all_drg_attachments[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"VirtualNetworkClient().get_all_drg_attachments(compartment_id=compartment_id, all_drg_attachment_id=all_drg_attachment_id).data",/20160918/allDrgAttachments/{AllDrgAttachmentsId}
oci,virtual_network,all_drg_attachment.time_created,item.all_drg_attachment.time_created,string,No,oci.virtual_network.get_all_drg_attachments,read_get,No,oci.virtual_network.get_all_drg_attachments,oci.virtual_network.get_all_drg_attachments,1,0,oci.virtual_network.get_all_drg_attachments[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"VirtualNetworkClient().get_all_drg_attachments(compartment_id=compartment_id, all_drg_attachment_id=all_drg_attachment_id).data",/20160918/allDrgAttachments/{AllDrgAttachmentsId}
oci,virtual_network,all_drg_attachment.freeform_tags,item.all_drg_attachment.freeform_tags,object,No,oci.virtual_network.get_all_drg_attachments,read_get,No,oci.virtual_network.get_all_drg_attachments,oci.virtual_network.get_all_drg_attachments,1,0,oci.virtual_network.get_all_drg_attachments[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","VirtualNetworkClient().get_all_drg_attachments(compartment_id=compartment_id, all_drg_attachment_id=all_drg_attachment_id).data",/20160918/allDrgAttachments/{AllDrgAttachmentsId}
oci,virtual_network,all_drg_attachment.defined_tags,item.all_drg_attachment.defined_tags,object,No,oci.virtual_network.get_all_drg_attachments,read_get,No,oci.virtual_network.get_all_drg_attachments,oci.virtual_network.get_all_drg_attachments,1,0,oci.virtual_network.get_all_drg_attachments[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","VirtualNetworkClient().get_all_drg_attachments(compartment_id=compartment_id, all_drg_attachment_id=all_drg_attachment_id).data",/20160918/allDrgAttachments/{AllDrgAttachmentsId}
oci,virtual_network,allowed_ike_ip_sec_parameter.name,item.allowed_ike_ip_sec_parameter.name,string,No,oci.virtual_network.get_allowed_ike_ip_sec_parameters,read_get,No,oci.virtual_network.get_allowed_ike_ip_sec_parameters,oci.virtual_network.get_allowed_ike_ip_sec_parameters,1,0,oci.virtual_network.get_allowed_ike_ip_sec_parameters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"VirtualNetworkClient().get_allowed_ike_ip_sec_parameters(compartment_id=compartment_id, allowed_ike_ip_sec_parameter_id=allowed_ike_ip_sec_parameter_id).data",/20160918/allowedIkeIpSecParameters/{AllowedIkeIpSecParametersId}
oci,virtual_network,allowed_ike_ip_sec_parameter.status,item.allowed_ike_ip_sec_parameter.status,string,No,oci.virtual_network.get_allowed_ike_ip_sec_parameters,read_get,No,oci.virtual_network.get_allowed_ike_ip_sec_parameters,oci.virtual_network.get_allowed_ike_ip_sec_parameters,1,0,oci.virtual_network.get_allowed_ike_ip_sec_parameters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"VirtualNetworkClient().get_allowed_ike_ip_sec_parameters(compartment_id=compartment_id, allowed_ike_ip_sec_parameter_id=allowed_ike_ip_sec_parameter_id).data",/20160918/allowedIkeIpSecParameters/{AllowedIkeIpSecParametersId}
oci,virtual_network,allowed_ike_ip_sec_parameter.time_created,item.allowed_ike_ip_sec_parameter.time_created,string,No,oci.virtual_network.get_allowed_ike_ip_sec_parameters,read_get,No,oci.virtual_network.get_allowed_ike_ip_sec_parameters,oci.virtual_network.get_allowed_ike_ip_sec_parameters,1,0,oci.virtual_network.get_allowed_ike_ip_sec_parameters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"VirtualNetworkClient().get_allowed_ike_ip_sec_parameters(compartment_id=compartment_id, allowed_ike_ip_sec_parameter_id=allowed_ike_ip_sec_parameter_id).data",/20160918/allowedIkeIpSecParameters/{AllowedIkeIpSecParametersId}
