unique_compliance_id,technology,compliance_framework,framework_id,framework_version,requirement_id,requirement_name,requirement_description,section,service,total_checks,automation_type,confidence_score,references,source_file,azure_checks
canada_pbmm_moderate_multi_cloud_CCCS_AC-2_0002,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-2,CCCS AC-2: Account Management,,CCCS,IAM,15,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_ad_user_accesskey_unused; azure_ad_user_console_access_unused
canada_pbmm_moderate_multi_cloud_CCCS_AC-5_0005,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-5,CCCS AC-5: Separation of Duties,,CCCS,IAM,9,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_ad_policy_no_administrative_privileges
canada_pbmm_moderate_multi_cloud_CCCS_AC-6_0006,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-6,CCCS AC-6: Least Privilege,,CCCS,IAM,21,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_ad_policy_no_administrative_privileges; azure_ad_policy_overly_permissive; azure_ad_role_least_privilege
canada_pbmm_moderate_multi_cloud_CCCS_AC-17_0013,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-17,CCCS AC-17: Remote Access,,CCCS,Multiple,63,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_compute_disk_public_snapshot; azure_compute_instance_public_ip; azure_functions_app_restrict_public_access; azure_functions_app_url_public; azure_hdinsight_cluster_master_nodes_no_public_ip; azure_sql_database_no_public_access; azure_sql_database_snapshots_public_access; azure_storage_account_policy_public_write_access; azure_storage_account_public_access; azure_synapse_cluster_public_access
canada_pbmm_moderate_multi_cloud_CCCS_AU-2_0024,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-2,CCCS AU-2: Event Logging,,CCCS,Multiple,59,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_api_management_restapi_logging_enabled; azure_load_balancer_logging_enabled; azure_monitor_logging_enabled; azure_monitor_multi_region_enabled; azure_monitor_storage_read_events_enabled; azure_monitor_storage_write_events_enabled; azure_sql_database_diagnostic_settings_enabled; azure_storage_account_logging_enabled; azure_synapse_cluster_audit_logging
canada_pbmm_moderate_multi_cloud_CCCS_AU-3_0025,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-3,CCCS AU-3: Content of Audit Records,,CCCS,Multiple,60,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_api_management_restapi_logging_enabled; azure_load_balancer_logging_enabled; azure_monitor_logging_enabled; azure_monitor_multi_region_enabled; azure_monitor_storage_read_events_enabled; azure_monitor_storage_write_events_enabled; azure_sql_database_diagnostic_settings_enabled; azure_storage_account_logging_enabled; azure_synapse_cluster_audit_logging
canada_pbmm_moderate_multi_cloud_CCCS_AU-6_0028,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-6,"CCCS AU-6: Audit Record Review, Analysis, and Reporting",,CCCS,CLOUDWATCH,16,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_monitor_log_analysis_enabled; azure_monitor_log_metric_filter_alarm_configured
canada_pbmm_moderate_multi_cloud_CCCS_AU-8_0030,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-8,CCCS AU-8: Time Stamps,,CCCS,Multiple,58,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_api_management_restapi_logging_enabled; azure_load_balancer_logging_enabled; azure_monitor_logging_enabled; azure_monitor_multi_region_enabled; azure_monitor_storage_read_events_enabled; azure_monitor_storage_write_events_enabled; azure_sql_database_diagnostic_settings_enabled; azure_storage_account_logging_enabled; azure_synapse_cluster_audit_logging
canada_pbmm_moderate_multi_cloud_CCCS_AU-9_0031,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-9,CCCS AU-9: Protection of Audit Information,,CCCS,CLOUDTRAIL,10,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_monitor_log_file_integrity_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-12_0033,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-12,CCCS AU-12: Audit Record Generation,,CCCS,Multiple,59,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_api_management_restapi_logging_enabled; azure_load_balancer_logging_enabled; azure_monitor_logging_enabled; azure_monitor_multi_region_enabled; azure_monitor_storage_read_events_enabled; azure_monitor_storage_write_events_enabled; azure_sql_database_diagnostic_settings_enabled; azure_storage_account_logging_enabled; azure_synapse_cluster_audit_logging
canada_pbmm_moderate_multi_cloud_CCCS_CA-2_0035,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-2,CCCS CA-2: Control Assessments,,CCCS,Multiple,15,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_security_center_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CA-7_0039,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-7,CCCS CA-7: Continuous Monitoring,,CCCS,Multiple,81,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_api_management_restapi_logging_enabled; azure_monitor_changes_to_network_acls_alarm_configured; azure_monitor_changes_to_network_gateways_alarm_configured; azure_monitor_changes_to_network_route_tables_alarm_configured; azure_monitor_changes_to_vpcs_alarm_configured; azure_monitor_log_retention_configured_policy_specific_days_enabled; azure_monitor_logging_enabled; azure_monitor_multi_region_enabled; azure_monitor_storage_read_events_enabled; azure_monitor_storage_write_events_enabled; azure_security_center_enabled; azure_sql_database_auditing_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CA-9_0040,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-9,CCCS CA-9: Internal System Connections,,CCCS,Multiple,28,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_api_management_restapi_client_certificate_enabled; azure_load_balancer_ssl_listeners; azure_search_service_domains_node_to_node_encryption_enabled; azure_storage_account_secure_transport_policy
canada_pbmm_moderate_multi_cloud_CCCS_CM-2_0042,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-2,CCCS CM-2: Baseline Configuration,,CCCS,Multiple,40,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_automation_managed_compliant_patching; azure_compute_instance_older_than_specific_days; azure_compute_networkacl_allow_ingress_any_port; azure_compute_vm_managed_by_automation; azure_load_balancer_deletion_protection; azure_synapse_cluster_automatic_upgrades
canada_pbmm_moderate_multi_cloud_CCCS_CM-3_0043,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-3,CCCS CM-3: Configuration Change Control,,CCCS,Multiple,15,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_load_balancer_deletion_protection; azure_sql_database_deletion_protection
canada_pbmm_moderate_multi_cloud_CCCS_CM-6_0046,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-6,CCCS CM-6: Configuration Settings,,CCCS,Multiple,70,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_ad_user_password_policy_minimum_length_14; azure_automation_managed_compliant_patching; azure_compute_disk_encryption_enabled; azure_compute_instance_profile_attached; azure_compute_vm_managed_by_automation; azure_monitor_kms_encryption_enabled; azure_monitor_log_file_integrity_enabled; azure_monitor_logging_enabled; azure_monitor_multi_region_enabled; azure_monitor_storage_read_events_enabled; azure_monitor_storage_write_events_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CM-7_0047,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-7,CCCS CM-7: Least Functionality,,CCCS,EC2,10,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_compute_networkacl_allow_ingress_any_port
canada_pbmm_moderate_multi_cloud_CCCS_CM-8_0048,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-8,CCCS CM-8: System Component Inventory,,CCCS,Multiple,15,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_automation_managed_compliant_patching; azure_compute_vm_managed_by_automation
canada_pbmm_moderate_multi_cloud_CCCS_CM-9_0049,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-9,CCCS CM-9: Configuration Management Plan,,CCCS,Multiple,58,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_ad_policy_attached_only_to_group_or_roles; azure_ad_user_password_policy_minimum_length_14; azure_compute_disk_encryption_enabled; azure_monitor_kms_encryption_enabled; azure_monitor_log_file_integrity_enabled; azure_monitor_logging_enabled; azure_monitor_multi_region_enabled; azure_monitor_storage_read_events_enabled; azure_monitor_storage_write_events_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CP-2_0053,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-2,CCCS CP-2: Contingency Plan,,CCCS,Multiple,22,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_load_balancer_deletion_protection; azure_sql_database_deletion_protection; azure_sql_database_multi_az
canada_pbmm_moderate_multi_cloud_CCCS_CP-6_0056,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-6,CCCS CP-6: Alternate Storage Site,,CCCS,Multiple,28,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_files_have_backup_enabled; azure_sql_database_backup_enabled; azure_storage_account_object_versioning; azure_synapse_cluster_automated_snapshot
canada_pbmm_moderate_multi_cloud_CCCS_CP-9_0059,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-9,CCCS CP-9: System Backup,,CCCS,Multiple,94,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_compute_disk_encryption_enabled; azure_cosmos_db_tables_pitr_enabled; azure_files_encryption_at_rest_enabled; azure_files_have_backup_enabled; azure_machine_learning_notebook_instance_encryption_enabled; azure_monitor_kms_encryption_enabled; azure_monitor_log_group_kms_encryption_enabled; azure_search_service_domains_encryption_at_rest_enabled; azure_sql_database_backup_enabled; azure_sql_database_encryption_at_rest_enabled; azure_storage_account_encryption_enabled; azure_storage_account_object_versioning; azure_synapse_cluster_audit_logging; azure_synapse_cluster_automated_snapshot; azure_synapse_cluster_automatic_upgrades
canada_pbmm_moderate_multi_cloud_CCCS_IA-2_0062,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-2,CCCS IA-2: Identification and Authentication (organizational Users),,CCCS,IAM,22,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_ad_root_mfa_enabled; azure_ad_user_mfa_enabled; azure_ad_user_password_policy_strong
canada_pbmm_moderate_multi_cloud_CCCS_IA-4_0064,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-4,CCCS IA-4: Identifier Management,,CCCS,IAM,16,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_ad_no_root_access_key; azure_ad_user_password_policy_minimum_length_14
canada_pbmm_moderate_multi_cloud_CCCS_IA-5_0065,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-5,CCCS IA-5: Authenticator Management,,CCCS,IAM,6,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_ad_user_password_policy_minimum_length_14
canada_pbmm_moderate_multi_cloud_CCCS_IR-4_0072,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IR-4,CCCS IR-4: Incident Handling,,CCCS,GUARDDUTY,10,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_security_center_no_high_severity_findings
canada_pbmm_moderate_multi_cloud_CCCS_MA-4_0080,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS MA-4,CCCS MA-4: Nonlocal Maintenance,,CCCS,IAM,6,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_ad_user_password_policy_minimum_length_14
canada_pbmm_moderate_multi_cloud_CCCS_RA-1_0112,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS RA-1,CCCS RA-1: Policy and Procedures,,CCCS,GUARDDUTY,6,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_security_center_enabled
canada_pbmm_moderate_multi_cloud_CCCS_RA-5_0115,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS RA-5,CCCS RA-5: Vulnerability Monitoring and Scanning,,CCCS,GUARDDUTY,9,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_security_center_enabled
canada_pbmm_moderate_multi_cloud_CCCS_SC-5_0131,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-5,CCCS SC-5: Denial-of-service Protection,,CCCS,GUARDDUTY,10,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_security_center_enabled
canada_pbmm_moderate_multi_cloud_CCCS_SC-7_0132,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-7,CCCS SC-7: Boundary Protection,,CCCS,Multiple,63,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_compute_disk_public_snapshot; azure_compute_instance_public_ip; azure_functions_app_restrict_public_access; azure_functions_app_url_public; azure_hdinsight_cluster_master_nodes_no_public_ip; azure_sql_database_no_public_access; azure_sql_database_snapshots_public_access; azure_storage_account_policy_public_write_access; azure_storage_account_public_access; azure_synapse_cluster_public_access
canada_pbmm_moderate_multi_cloud_CCCS_SC-8_0133,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-8,CCCS SC-8: Transmission Confidentiality and Integrity,,CCCS,Multiple,27,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_api_management_api_gateway_https_required; azure_cdn_cloudfront_https_required; azure_load_balancer_alb_https_redirect; azure_storage_account_website_https_only
canada_pbmm_moderate_multi_cloud_CCCS_SC-12_0135,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-12,CCCS SC-12: Cryptographic Key Establishment and Management,,CCCS,KMS,22,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_key_vault_key_lifecycle_policy; azure_key_vault_kms_key_expiration_set; azure_key_vault_kms_key_rotation_enabled
canada_pbmm_moderate_multi_cloud_CCCS_SC-13_0136,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-13,CCCS SC-13: Cryptographic Protection,,CCCS,Multiple,58,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_api_management_restapi_client_certificate_enabled; azure_compute_disk_encryption_enabled; azure_cosmos_db_tables_kms_cmk_encryption_enabled; azure_files_encryption_at_rest_enabled; azure_load_balancer_ssl_listeners; azure_monitor_kms_encryption_enabled; azure_monitor_log_group_kms_encryption_enabled; azure_search_service_domains_encryption_at_rest_enabled; azure_search_service_domains_node_to_node_encryption_enabled
canada_pbmm_moderate_multi_cloud_CCCS_SC-22_0142,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-22,CCCS SC-22: Architecture and Provisioning for Name/address Resolution Service,,CCCS,Multiple,18,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_load_balancer_deletion_protection; azure_sql_database_deletion_protection; azure_sql_database_multi_az
canada_pbmm_moderate_multi_cloud_CCCS_SC-28_0144,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-28,CCCS SC-28: Protection of Information at Rest,,CCCS,Multiple,33,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_backup_backup_encryption_enabled; azure_compute_disk_encryption_enabled_enabled; azure_sql_database_encryption_at_rest_enabled; azure_sql_dynamodb_table_encryption_enabled; azure_storage_account_encryption_enabled
canada_pbmm_moderate_multi_cloud_CCCS_SI-2_0147,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SI-2,CCCS SI-2: Flaw Remediation,,CCCS,Multiple,46,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_automation_managed_compliant_patching; azure_monitor_changes_to_network_acls_alarm_configured; azure_monitor_changes_to_network_gateways_alarm_configured; azure_monitor_changes_to_network_route_tables_alarm_configured; azure_monitor_changes_to_vpcs_alarm_configured; azure_sql_database_auditing_enabled; azure_synapse_cluster_automatic_upgrades
canada_pbmm_moderate_multi_cloud_CCCS_SI-4_0149,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SI-4,CCCS SI-4: System Monitoring,,CCCS,Multiple,16,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_monitor_log_file_integrity_enabled; azure_security_center_enabled
canada_pbmm_moderate_multi_cloud_CCCS_SI-16_0156,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SI-16,CCCS SI-16: Memory Protection,,CCCS,GUARDDUTY,18,automated,,,CANADA_PBMM_controls_with_checks.csv,azure_security_center_guardduty_enabled; azure_security_center_security_center_enabled; azure_security_center_vulnerability_assessment_enabled
