unique_compliance_id,technology,compliance_framework,framework_id,framework_version,requirement_id,requirement_name,requirement_description,section,service,total_checks,automation_type,confidence_score,references,source_file,oracle_checks
canada_pbmm_moderate_multi_cloud_CCCS_AC-2_0002,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-2,CCCS AC-2: Account Management,,CCCS,IAM,15,automated,,,CANADA_PBMM_controls_with_checks.csv,oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused
canada_pbmm_moderate_multi_cloud_CCCS_AC-5_0005,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-5,CCCS AC-5: Separation of Duties,,CCCS,IAM,9,automated,,,CANADA_PBMM_controls_with_checks.csv,oracle_identity_policy_no_administrative_privileges
canada_pbmm_moderate_multi_cloud_CCCS_AC-6_0006,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-6,CCCS AC-6: Least Privilege,,CCCS,IAM,21,automated,,,CANADA_PBMM_controls_with_checks.csv,oracle_identity_policy_no_administrative_privileges; oracle_identity_policy_overly_permissive; oracle_identity_role_least_privilege
canada_pbmm_moderate_multi_cloud_CCCS_AC-17_0013,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-17,CCCS AC-17: Remote Access,,CCCS,Multiple,63,automated,,,CANADA_PBMM_controls_with_checks.csv,oracle_autonomous_dw_cluster_public_access; oracle_big_data_cluster_master_nodes_no_public_ip; oracle_compute_block_volume_public_snapshot; oracle_compute_instance_public_ip; oracle_database_instance_no_public_access; oracle_database_snapshots_public_access; oracle_functions_function_not_publicly_accessible; oracle_functions_function_url_public; oracle_object_storage_bucket_policy_public_write_access; oracle_object_storage_bucket_public_access
canada_pbmm_moderate_multi_cloud_CCCS_AU-2_0024,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-2,CCCS AU-2: Event Logging,,CCCS,Multiple,59,automated,,,CANADA_PBMM_controls_with_checks.csv,oracle_api_gateway_restapi_logging_enabled; oracle_audit_logging_enabled; oracle_audit_multi_region_enabled; oracle_audit_object_storage_read_events_enabled; oracle_audit_object_storage_write_events_enabled; oracle_autonomous_dw_cluster_audit_logging; oracle_database_instance_logging_enabled; oracle_load_balancer_logging_enabled; oracle_object_storage_bucket_server_access_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-3_0025,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-3,CCCS AU-3: Content of Audit Records,,CCCS,Multiple,60,automated,,,CANADA_PBMM_controls_with_checks.csv,oracle_api_gateway_restapi_logging_enabled; oracle_audit_logging_enabled; oracle_audit_multi_region_enabled; oracle_audit_object_storage_read_events_enabled; oracle_audit_object_storage_write_events_enabled; oracle_autonomous_dw_cluster_audit_logging; oracle_database_instance_logging_enabled; oracle_load_balancer_logging_enabled; oracle_object_storage_bucket_server_access_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-6_0028,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-6,"CCCS AU-6: Audit Record Review, Analysis, and Reporting",,CCCS,CLOUDWATCH,16,automated,,,CANADA_PBMM_controls_with_checks.csv,oracle_logging_log_analysis_enabled; oracle_logging_log_metric_filter_alarm_configured
canada_pbmm_moderate_multi_cloud_CCCS_AU-8_0030,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-8,CCCS AU-8: Time Stamps,,CCCS,Multiple,58,automated,,,CANADA_PBMM_controls_with_checks.csv,oracle_api_gateway_restapi_logging_enabled; oracle_audit_logging_enabled; oracle_audit_multi_region_enabled; oracle_audit_object_storage_read_events_enabled; oracle_audit_object_storage_write_events_enabled; oracle_autonomous_dw_cluster_audit_logging; oracle_database_instance_logging_enabled; oracle_load_balancer_logging_enabled; oracle_object_storage_bucket_server_access_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-9_0031,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-9,CCCS AU-9: Protection of Audit Information,,CCCS,CLOUDTRAIL,10,automated,,,CANADA_PBMM_controls_with_checks.csv,oracle_audit_log_file_validation_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-12_0033,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-12,CCCS AU-12: Audit Record Generation,,CCCS,Multiple,59,automated,,,CANADA_PBMM_controls_with_checks.csv,oracle_api_gateway_restapi_logging_enabled; oracle_audit_logging_enabled; oracle_audit_multi_region_enabled; oracle_audit_object_storage_read_events_enabled; oracle_audit_object_storage_write_events_enabled; oracle_autonomous_dw_cluster_audit_logging; oracle_database_instance_logging_enabled; oracle_load_balancer_logging_enabled; oracle_object_storage_bucket_server_access_logging_enabled
