service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
batch,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
batch,Statement,array,Yes,contains,,contains,,Select from list only,"DISABLED, ENABLED",boto3_deps,2
batch,Status,string,Yes,"equals, in, not_equals",,"equals, in, not_equals",,Select from list only,"CREATING, DELETED, DELETING, FAILED, INVALID, PENDING, RUNNABLE, RUNNING, SCHEDULED, STARTING, SUBMITTED, SUCCEEDED, UPDATING, VALID",boto3_deps,14
batch,Version,string,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
batch,arn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
batch,arrayProperties,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
batch,attempts,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
batch,capacityLimits,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
batch,computeEnvironmentArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
batch,computeEnvironmentName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
batch,computeEnvironmentOrder,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
batch,computeEnvironments,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
batch,computeResources,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
batch,consumableResourceArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
batch,consumableResourceName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
batch,consumableResourceProperties,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
