service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
bcm-data-exports,CompletedAt,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
bcm-data-exports,CreatedAt,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
bcm-data-exports,DataQuery,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
bcm-data-exports,Description,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bcm-data-exports,DestinationConfigurations,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
bcm-data-exports,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
bcm-data-exports,ExecutionId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bcm-data-exports,ExecutionStatus,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
bcm-data-exports,Export,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
bcm-data-exports,ExportArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bcm-data-exports,ExportName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bcm-data-exports,ExportStatus,string,No,"equals, in, not_equals, not_in",,,"equals, in, not_equals, not_in",Manual input only,,,0
bcm-data-exports,Key,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bcm-data-exports,LastUpdatedAt,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
bcm-data-exports,Name,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bcm-data-exports,RefreshCadence,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
bcm-data-exports,Schema,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
bcm-data-exports,Status,string,Yes,"equals, in, not_equals",,"equals, in, not_equals",,Select from list only,"BILL_OWNER_CHANGED, DELIVERY_FAILURE, DELIVERY_IN_PROCESS, DELIVERY_SUCCESS, INITIATION_IN_PROCESS, INSUFFICIENT_PERMISSION, INTERNAL_FAILURE, QUERY_FAILURE, QUERY_IN_PROCESS, QUERY_QUEUED",boto3_deps,10
bcm-data-exports,StatusCode,string,Yes,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,Select from list only,"INITIATION_IN_PROCESS, QUERY_QUEUED, QUERY_IN_PROCESS, QUERY_FAILURE, DELIVERY_IN_PROCESS, DELIVERY_SUCCESS, DELIVERY_FAILURE",direct_vars,7
bcm-data-exports,StatusReason,string,Yes,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,Select from list only,"INSUFFICIENT_PERMISSION, BILL_OWNER_CHANGED, INTERNAL_FAILURE",direct_vars,3
bcm-data-exports,TableName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bcm-data-exports,TableProperties,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
bcm-data-exports,Type,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bcm-data-exports,Value,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
