service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
pinpoint-sms-voice-v2,AccountAttributes,integer,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
pinpoint-sms-voice-v2,AccountDefault,integer,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
pinpoint-sms-voice-v2,AccountLimits,integer,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
pinpoint-sms-voice-v2,Action,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"ALLOW, BLOCK",direct_vars,2
pinpoint-sms-voice-v2,AdditionalAttributes,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,ApprovedVersionNumber,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,AttachmentStatus,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"UPLOAD_IN_PROGRESS, UPLOAD_COMPLETE, UPLOAD_FAILED, DELETED",direct_vars,4
pinpoint-sms-voice-v2,AttachmentUploadErrorReason,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,INTERNAL_ERROR,direct_vars,1
pinpoint-sms-voice-v2,ConfigurationSetArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
pinpoint-sms-voice-v2,ConfigurationSetName,string,Yes,"contains, equals, exists, in, not_equals",exists,"contains, equals, in, not_equals",,No value or select from list,"ACCOUNT_TIER, CONFIGURATION_SETS, DEFAULT_PROTECT_CONFIGURATION_ID, MEDIA_MESSAGE_MONTHLY_SPEND_LIMIT, OPT_OUT_LISTS, PHONE_NUMBERS, POOLS, REGISTRATIONS, REGISTRATION_ATTACHMENTS, SENDER_IDS, TEXT_MESSAGE_MONTHLY_SPEND_LIMIT, VERIFIED_DESTINATION_NUMBERS, VOICE_MESSAGE_MONTHLY_SPEND_LIMIT",boto3_deps,13
pinpoint-sms-voice-v2,ConfigurationSets,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,CreatedTimestamp,string,No,"contains, equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,CurrentVersionNumber,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,DefaultMessageFeedbackEnabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,DefaultMessageType,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"TRANSACTIONAL, PROMOTIONAL",direct_vars,2
pinpoint-sms-voice-v2,DefaultSenderId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
pinpoint-sms-voice-v2,DeletionProtectionEnabled,boolean,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,DeniedReason,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
pinpoint-sms-voice-v2,DeniedReasons,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,DestinationPhoneNumber,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
pinpoint-sms-voice-v2,DisplayHints,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,EndUserOptedOut,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,EnforcedLimit,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,EventDestinations,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,ExpirationTimestamp,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,FieldPath,string,No,"contains, equals, exists, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",exists,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",No value or manual input,,,0
pinpoint-sms-voice-v2,FieldRequirement,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"REQUIRED, CONDITIONAL, OPTIONAL",direct_vars,3
pinpoint-sms-voice-v2,FieldType,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"SELECT, TEXT, ATTACHMENT",direct_vars,3
pinpoint-sms-voice-v2,InternationalSendingEnabled,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,IsoCountryCode,integer,No,"contains, equals, exists, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",exists,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",No value or manual input,,,0
pinpoint-sms-voice-v2,Key,string,Yes,"contains, equals, exists, in, not_equals",exists,"contains, equals, in, not_equals",,No value or select from list,"AUTOMATIC_RESPONSE, OPT_IN, OPT_OUT",boto3_deps,3
pinpoint-sms-voice-v2,Keyword,string,Yes,"contains, equals, exists, in, not_equals",exists,"contains, equals, in, not_equals",,No value or select from list,"AUTOMATIC_RESPONSE, OPT_IN, OPT_OUT",boto3_deps,3
pinpoint-sms-voice-v2,KeywordAction,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"AUTOMATIC_RESPONSE, OPT_OUT, OPT_IN",direct_vars,3
pinpoint-sms-voice-v2,KeywordMessage,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
pinpoint-sms-voice-v2,Keywords,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,LatestDeniedVersionNumber,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,Max,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,MaxLimit,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
pinpoint-sms-voice-v2,MessageType,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"TRANSACTIONAL, PROMOTIONAL",direct_vars,2
pinpoint-sms-voice-v2,MessageTypes,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"PROMOTIONAL, TRANSACTIONAL",boto3_deps,2
pinpoint-sms-voice-v2,MonthlyLeasingPrice,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
pinpoint-sms-voice-v2,Name,string,Yes,"contains, equals, exists, in, not_equals, not_in",exists,"contains, equals, in, not_equals, not_in",,No value or select from list,"ACCOUNT_TIER, DEFAULT_PROTECT_CONFIGURATION_ID",direct_vars,2
