service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
batch,DestinationArn,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
batch,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
batch,Format,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
batch,KeySource,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
batch,KeyVaultProperties,object,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
batch,Level,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
batch,PrincipalId,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
batch,Statement,array,No,contains,,,contains,Manual input only,,,0
batch,Status,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
batch,Type,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
batch,Version,string,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
batch,account_endpoint,integer,No,"contains, equals, exists, gt, gte, in, lt, lte, not_empty, not_equals","exists, not_empty",,"contains, equals, gt, gte, in, lt, lte, not_equals",No value or manual input,,,0
batch,active_job_and_job_schedule_quota,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
batch,allocation_state,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Deallocated, Deallocating, Running, Starting, Stopped, Stopping",azure_deps,6
batch,allocation_state_transition_time,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Deallocated, Deallocating, Running, Starting, Stopped, Stopping",azure_deps,6
batch,allow_updates,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
batch,allowed_authentication_modes,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
batch,application_licenses,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
batch,application_packages,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
batch,auto_scale_run,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
batch,auto_storage,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
batch,batch_support_end_of_life,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
batch,capabilities,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
batch,category,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
batch,certificates,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"CurrentUser, LocalMachine",azure_deps,2
batch,creation_time,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
