service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
deviceupdate,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
deviceupdate,KeySource,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
deviceupdate,KeyVaultProperties,object,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
deviceupdate,Name,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
deviceupdate,PrincipalId,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
deviceupdate,Status,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
deviceupdate,Tier,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
deviceupdate,Type,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
deviceupdate,account_name,integer,No,"contains, equals, exists, gt, gte, in, lt, lte, not_empty, not_equals","exists, not_empty",,"contains, equals, gt, gte, in, lt, lte, not_equals",No value or manual input,,,0
deviceupdate,action_type,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Microsoft.Compute/virtualMachines, Microsoft.Storage/storageAccounts",azure_deps,2
deviceupdate,diagnostic_storage_properties,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
deviceupdate,display,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
deviceupdate,e_tag,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
deviceupdate,enable_diagnostics,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
deviceupdate,encryption,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
deviceupdate,group_id,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
deviceupdate,group_ids,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
deviceupdate,host_name,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
deviceupdate,id,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Canceled, Failed, Succeeded",azure_deps,3
deviceupdate,identity,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"None, SystemAssigned, SystemAssigned,UserAssigned, UserAssigned",azure_deps,4
