service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
rdbms_mysql_flexibleservers,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
rdbms_mysql_flexibleservers,KeySource,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
rdbms_mysql_flexibleservers,KeyVaultProperties,object,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
rdbms_mysql_flexibleservers,Name,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
rdbms_mysql_flexibleservers,PrincipalId,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
rdbms_mysql_flexibleservers,Status,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
rdbms_mysql_flexibleservers,Tier,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
rdbms_mysql_flexibleservers,Type,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
rdbms_mysql_flexibleservers,administrator_login,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,administrator_login_password,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,allowed_values,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,availability_zone,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,backup,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,backup_type,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Microsoft.Compute/virtualMachines, Microsoft.Storage/storageAccounts",azure_deps,2
rdbms_mysql_flexibleservers,charset,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,collation,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,completed_time,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,create_mode,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,data_encryption,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,data_type,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Microsoft.Compute/virtualMachines, Microsoft.Storage/storageAccounts",azure_deps,2
rdbms_mysql_flexibleservers,default_value,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,description,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,display,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,end_ip_address,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,fully_qualified_domain_name,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,high_availability,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,id,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,identity,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
rdbms_mysql_flexibleservers,is_config_pending_restart,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
