service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
servicefabricmanagedclusters,DestinationArn,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
servicefabricmanagedclusters,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
servicefabricmanagedclusters,Format,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
servicefabricmanagedclusters,KeySource,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
servicefabricmanagedclusters,KeyVaultProperties,object,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
servicefabricmanagedclusters,Level,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
servicefabricmanagedclusters,Name,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
servicefabricmanagedclusters,PrincipalId,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
servicefabricmanagedclusters,Statement,array,No,contains,,,contains,Manual input only,,,0
servicefabricmanagedclusters,Status,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
servicefabricmanagedclusters,Tier,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
servicefabricmanagedclusters,Type,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
servicefabricmanagedclusters,Version,string,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
servicefabricmanagedclusters,additional_data_disks,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,additional_network_interface_configurations,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,addon_features,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,admin_password,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,admin_user_name,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,allow_rdp_access,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,app_package_url,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,application_ports,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,application_type_versions_cleanup_policy,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Microsoft.Compute/virtualMachines, Microsoft.Storage/storageAccounts",azure_deps,2
servicefabricmanagedclusters,auxiliary_subnets,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,azure_active_directory,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,capacities,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,capacity,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,client_connection_port,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,clients,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,cluster_certificate_thumbprints,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,cluster_code_version,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,cluster_id,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,cluster_state,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Deallocated, Deallocating, Running, Starting, Stopped, Stopping",azure_deps,6
servicefabricmanagedclusters,cluster_upgrade_cadence,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,cluster_upgrade_mode,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,computer_name_prefix,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,data_disk_letter,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,data_disk_size_gb,integer,No,"contains, equals, exists, gt, gte, in, lt, lte, not_empty, not_equals","exists, not_empty",,"contains, equals, gt, gte, in, lt, lte, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,data_disk_type,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Microsoft.Compute/virtualMachines, Microsoft.Storage/storageAccounts",azure_deps,2
servicefabricmanagedclusters,ddos_protection_plan_id,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,display,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,dns_name,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,dscp_configuration_id,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,enable_accelerated_networking,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,enable_auto_os_upgrade,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,enable_encryption_at_host,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,enable_http_gateway_exclusive_auth_mode,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,enable_ipv6,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,enable_node_public_i_pv6,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,enable_node_public_ip,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,enable_over_provisioning,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,enable_service_public_ip,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,ephemeral_ports,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,etag,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,eviction_policy,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
servicefabricmanagedclusters,fabric_settings,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
