service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
timeseriesinsights,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
timeseriesinsights,Name,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
timeseriesinsights,Status,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
timeseriesinsights,Tier,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
timeseriesinsights,creation_time,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
timeseriesinsights,data_string_comparison_behavior,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
timeseriesinsights,description,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
timeseriesinsights,id,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
timeseriesinsights,key_properties,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
timeseriesinsights,kind,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Gen1, Gen2",azure_deps,2
timeseriesinsights,location,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
timeseriesinsights,name,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"L1, P1, S1, S2",azure_deps,4
timeseriesinsights,next_link,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
timeseriesinsights,principal_object_id,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
timeseriesinsights,provisioning_state,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Deallocated, Deallocating, Running, Starting, Stopped, Stopping",azure_deps,6
timeseriesinsights,roles,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
timeseriesinsights,sku,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"L1, P1, S1, S2",azure_deps,4
timeseriesinsights,tags,array,No,"contains, exists, not_empty","exists, not_empty",,contains,No value or manual input,,,0
timeseriesinsights,type,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,String,azure_deps,1
timeseriesinsights,value,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
