service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
bigtableadmin,creationTimestamp,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"INITIALIZING, READY, STATE_NOT_KNOWN",direct_vars,3
bigtableadmin,description,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"BACKUP, RESTORE_SOURCE_TYPE_UNSPECIFIED",direct_vars,2
bigtableadmin,etag,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"CREATING, READY, STATE_NOT_KNOWN",direct_vars,3
bigtableadmin,id,string,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
bigtableadmin,kind,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"MILLIS, TIMESTAMP_GRANULARITY_UNSPECIFIED",direct_vars,2
bigtableadmin,labels,object,Yes,"exists, not_empty","exists, not_empty",,,No value required,"CREATING, READY, STATE_NOT_KNOWN",direct_vars,3
bigtableadmin,logType,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ADMIN_READ, DATA_READ, DATA_WRITE, LOG_TYPE_UNSPECIFIED",direct_vars,4
bigtableadmin,log_type,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ADMIN_READ, DATA_READ, DATA_WRITE, LOG_TYPE_UNSPECIFIED",direct_vars,4
bigtableadmin,name,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,"CREATING, READY, STATE_NOT_KNOWN",direct_vars,3
bigtableadmin,selfLink,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"NODE_SCALING_FACTOR_1X, NODE_SCALING_FACTOR_2X, NODE_SCALING_FACTOR_UNSPECIFIED",direct_vars,3
bigtableadmin,state,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"CREATING, DISABLED, READY, RESIZING, STATE_NOT_KNOWN",direct_vars,5
bigtableadmin,type,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"HDD, SSD, STORAGE_TYPE_UNSPECIFIED",direct_vars,3
