service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
cloudidentity,creationTimestamp,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"COMPROMISED, COMPROMISED_STATE_UNSPECIFIED, NOT_COMPROMISED",direct_vars,3
cloudidentity,description,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"ENCRYPTED, ENCRYPTION_STATE_UNSPECIFIED, NOT_ENCRYPTED, UNSUPPORTED_BY_DEVICE",direct_vars,4
cloudidentity,etag,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"ACCEPTED, DECLINED, INVITED, NOT_YET_SENT, STATE_UNSPECIFIED",direct_vars,5
cloudidentity,id,string,Yes,"equals, exists, not_equals",exists,"equals, not_equals",,No value or select from list,"ANDROID, CHROME_OS, DEVICE_TYPE_UNSPECIFIED, GOOGLE_SYNC, IOS, LINUX, MAC_OS, WINDOWS",direct_vars,8
cloudidentity,kind,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"MANAGED, MANAGED_STATE_UNSPECIFIED, UNMANAGED",direct_vars,3
cloudidentity,labels,object,Yes,"exists, not_empty","exists, not_empty",,,No value required,"ACCEPTED, DECLINED, INVITED, NOT_YET_SENT, STATE_UNSPECIFIED",direct_vars,5
cloudidentity,name,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,"MANAGED, MANAGED_STATE_UNSPECIFIED, UNMANAGED",direct_vars,3
cloudidentity,selfLink,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"DIRECT, DIRECT_AND_INDIRECT, INDIRECT, RELATION_TYPE_UNSPECIFIED",direct_vars,4
cloudidentity,state,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"APPROVED, BLOCKED, MANAGEMENT_STATE_UNSPECIFIED, PENDING_APPROVAL, UNENROLLED, WIPED, WIPING",direct_vars,7
cloudidentity,status,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"INVALID_QUERY, STATUS_UNSPECIFIED, UPDATING_MEMBERSHIPS, UP_TO_DATE",direct_vars,4
cloudidentity,type,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"OWNER_TYPE_CUSTOMER, OWNER_TYPE_PARTNER, OWNER_TYPE_UNSPECIFIED",direct_vars,3
