service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
compute,allowed,array,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"NONE, REFRESH, REPLACE, RESTART",direct_vars,4
compute,canIpForward,boolean,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"INVALID_TRACKING_MODE, PER_CONNECTION, PER_SESSION",direct_vars,3
compute,category,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"CATEGORY_UNSPECIFIED, LICENSE, MACHINE",direct_vars,3
compute,creationTimestamp,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"USE_FIXED_PORT, USE_NAMED_PORT, USE_SERVING_PORT",direct_vars,3
compute,deletionProtection,boolean,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ADVANCED, ADVANCED_PREVIEW, STANDARD",direct_vars,3
compute,denied,array,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"EGRESS, INGRESS",direct_vars,2
compute,description,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"EGRESS, INGRESS",direct_vars,2
compute,direction,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"INGRESS, EGRESS",direct_vars,2
compute,disabled,boolean,Yes,"equals, exists, not_equals, not_exists","exists, not_exists","equals, not_equals",,No value or select from list,"ACTIVE, INACTIVE, IS_ACTIVE_UNSPECIFIED",direct_vars,3
compute,disks,array,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"NVME, SCSI",direct_vars,2
compute,etag,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"DEPRECATED, GA, PREVIEW, STAGE_UNSPECIFIED",direct_vars,4
compute,id,string,Yes,"equals, exists, not_equals",exists,"equals, not_equals",,No value or select from list,"FRIDAY, INVALID, MONDAY, SATURDAY, SUNDAY, THURSDAY, TUESDAY, WEDNESDAY",direct_vars,8
compute,kind,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"LINK_TYPE_ETHERNET_100G_LR, LINK_TYPE_ETHERNET_10G_LR, LINK_TYPE_ETHERNET_400G_LR4",direct_vars,3
compute,labels,object,Yes,"exists, not_empty","exists, not_empty",,,No value required,"FALSE, TRUE",direct_vars,2
compute,logType,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ADMIN_READ, DATA_READ, DATA_WRITE, LOG_TYPE_UNSPECIFIED",direct_vars,4
compute,log_type,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ADMIN_READ, DATA_READ, DATA_WRITE, LOG_TYPE_UNSPECIFIED",direct_vars,4
compute,machineType,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"ARCHIVE, COLDLINE, NEARLINE, STANDARD",direct_vars,4
compute,mode,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"DELEGATION, EXTERNAL_IPV6_FORWARDING_RULE_CREATION, EXTERNAL_IPV6_SUBNETWORK_CREATION, INTERNAL_IPV6_SUBNETWORK_CREATION",direct_vars,4
compute,name,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,"INVALID_LB_POLICY, LEAST_REQUEST, MAGLEV, ORIGINAL_DESTINATION, RANDOM, RING_HASH, ROUND_ROBIN, WEIGHTED_GCP_RENDEZVOUS, WEIGHTED_MAGLEV, WEIGHTED_ROUND_ROBIN",direct_vars,10
compute,networkInterfaces,array,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"NVME, SCSI",direct_vars,2
compute,role,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ACTIVE, BACKUP",direct_vars,2
