service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
content,creationTimestamp,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"INTERACTION_CLICK, INTERACTION_DISMISS, INTERACTION_TYPE_UNSPECIFIED",direct_vars,3
content,description,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"MERCHANT_ACTION, PENDING_PROCESSING, UNKNOWN",direct_vars,3
content,etag,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"ACTIVE, ARCHIVED, PENDING, STATE_UNSPECIFIED",direct_vars,4
content,id,string,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
content,kind,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"CALLOUT_STYLE_HINT_UNSPECIFIED, ERROR, INFO, WARNING",direct_vars,4
content,labels,object,Yes,"exists, not_empty","exists, not_empty",,,No value required,"AUTOMATIC, LABEL_TYPE_UNSPECIFIED, MANUAL",direct_vars,3
content,name,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,"CHANNEL_UNSPECIFIED, LOCAL, ONLINE",direct_vars,3
content,selfLink,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"CALLOUT_STYLE_HINT_UNSPECIFIED, ERROR, INFO, WARNING",direct_vars,4
content,state,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ACTIVE, ARCHIVED, PENDING, STATE_UNSPECIFIED",direct_vars,4
content,status,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ELIGIBLE, INELIGIBLE, REVIEW_ELIGIBILITY_UNSPECIFIED",direct_vars,3
content,type,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"DESCRIPTION_TYPE_UNSPECIFIED, LONG, SHORT",direct_vars,3
