service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
dfareporting,creationTimestamp,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"ACCOUNT_PROFILE_BASIC, ACCOUNT_PROFILE_STANDARD",direct_vars,2
dfareporting,description,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"ASSET_DURATION_TYPE_AUTO, ASSET_DURATION_TYPE_CUSTOM, ASSET_DURATION_TYPE_NONE",direct_vars,3
dfareporting,etag,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"IFRAME_JAVASCRIPT_INPAGE, INTERNAL_REDIRECT_INPAGE, JAVASCRIPT_INPAGE, STANDARD",direct_vars,4
dfareporting,format,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"IFRAME_JAVASCRIPT_INPAGE, INTERNAL_REDIRECT_INPAGE, JAVASCRIPT_INPAGE, STANDARD",direct_vars,4
dfareporting,id,string,Yes,"equals, exists, not_equals",exists,"equals, not_equals",,No value or select from list,"INTERNAL, INVALID_ARGUMENT, NOT_FOUND, PERMISSION_DENIED",direct_vars,4
dfareporting,kind,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"GENERATE_SEPARATE_TAG_FOR_EACH_KEYWORD, IGNORE, PLACEHOLDER_WITH_LIST_OF_KEYWORDS",direct_vars,3
dfareporting,labels,object,Yes,"exists, not_empty","exists, not_empty",,,No value required,"CANCELLED, FEED_PROCESSING_STATE_UNKNOWN, INGESTED_FAILURE, INGESTED_SUCCESS, INGESTING, INGESTING_QUEUED, PUBLISHED_FAILURE, PUBLISHED_SUCCESS, PUBLISHING, REQUEST_TO_PUBLISH",direct_vars,10
dfareporting,level,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ADMINISTRATOR, USER",direct_vars,2
dfareporting,name,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,"ALIGNMENT_BOTTOM, ALIGNMENT_LEFT, ALIGNMENT_RIGHT, ALIGNMENT_TOP",direct_vars,4
dfareporting,role,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ADDITIONAL_FLASH, ADDITIONAL_IMAGE, ALTERNATE_VIDEO, BACKUP_IMAGE, OTHER, PARENT_AUDIO, PARENT_VIDEO, PRIMARY, TRANSCODED_AUDIO, TRANSCODED_VIDEO",direct_vars,10
dfareporting,selfLink,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"MEASUREMENT_PARTNER_LINKED, MEASUREMENT_PARTNER_LINK_FAILURE, MEASUREMENT_PARTNER_LINK_OPT_OUT, MEASUREMENT_PARTNER_LINK_OPT_OUT_PENDING, MEASUREMENT_PARTNER_LINK_PENDING, MEASUREMENT_PARTNER_LINK_WRAPPING_PENDING, MEASUREMENT_PARTNER_MODE_CHANGE_PENDING, MEASUREMENT_PARTNER_UNLINKED, MEASUREMENT_PARTNER_UNLINK_PENDING",direct_vars,9
dfareporting,state,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"CANCELLED, FEED_PROCESSING_STATE_UNKNOWN, INGESTED_FAILURE, INGESTED_SUCCESS, INGESTING, INGESTING_QUEUED, PUBLISHED_FAILURE, PUBLISHED_SUCCESS, PUBLISHING, REQUEST_TO_PUBLISH",direct_vars,10
dfareporting,status,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ALL, ASSIGNED, NONE",direct_vars,3
dfareporting,type,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"INTERNAL_ADMINISTRATOR, NORMAL_USER, READ_ONLY_SUPER_USER, SUPER_USER",direct_vars,4
