service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
dns,creationTimestamp,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"globalL7ilb, none, regionalL4ilb, regionalL7ilb",direct_vars,4
dns,description,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"nsec, nsec3",direct_vars,2
dns,etag,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"off, on, transfer",direct_vars,3
dns,id,string,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
dns,kind,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"default, private",direct_vars,2
dns,labels,object,Yes,"exists, not_empty","exists, not_empty",,,No value required,"off, on, transfer",direct_vars,3
dns,logType,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ADMIN_READ, DATA_READ, DATA_WRITE, LOG_TYPE_UNSPECIFIED",direct_vars,4
dns,log_type,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ADMIN_READ, DATA_READ, DATA_WRITE, LOG_TYPE_UNSPECIFIED",direct_vars,4
dns,name,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,"off, on, transfer",direct_vars,3
dns,selfLink,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"nsec, nsec3",direct_vars,2
dns,state,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"off, on, transfer",direct_vars,3
dns,status,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"done, pending",direct_vars,2
dns,type,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"keySigning, zoneSigning",direct_vars,2
