service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
searchconsole,creationTimestamp,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"FAIL, NEUTRAL, PARTIAL, PASS, VERDICT_UNSPECIFIED",direct_vars,5
searchconsole,description,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"COUNTRY, DEVICE, PAGE, QUERY, SEARCH_APPEARANCE",direct_vars,5
searchconsole,etag,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"ATOM_FEED, NOT_SITEMAP, OCEANFRONT, PATTERN_SITEMAP, RSS_FEED, SITEMAP, URL_LIST",direct_vars,7
searchconsole,id,string,Yes,"equals, exists, not_equals",exists,"equals, not_equals",,No value or select from list,"FAIL, NEUTRAL, PARTIAL, PASS, VERDICT_UNSPECIFIED",direct_vars,5
searchconsole,kind,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"COUNTRY, DEVICE, PAGE, QUERY, SEARCH_APPEARANCE",direct_vars,5
searchconsole,labels,object,Yes,"exists, not_empty","exists, not_empty",,,No value required,"CRAWLING_USER_AGENT_UNSPECIFIED, DESKTOP, MOBILE",direct_vars,3
searchconsole,name,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,"COUNTRY, DEVICE, PAGE, QUERY, SEARCH_APPEARANCE",direct_vars,5
searchconsole,selfLink,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"COUNTRY, DEVICE, PAGE, QUERY, SEARCH_APPEARANCE",direct_vars,5
searchconsole,status,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"COMPLETE, INTERNAL_ERROR, PAGE_UNREACHABLE, TEST_STATUS_UNSPECIFIED",direct_vars,4
searchconsole,type,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"CONFIGURE_VIEWPORT, FIXED_WIDTH_VIEWPORT, MOBILE_USABILITY_ISSUE_TYPE_UNSPECIFIED, SIZE_CONTENT_TO_VIEWPORT, TAP_TARGETS_TOO_CLOSE, USES_INCOMPATIBLE_PLUGINS, USE_LEGIBLE_FONT_SIZES",direct_vars,7
