service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
spanner,creationTimestamp,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"CUSTOMER_MANAGED_ENCRYPTION, GOOGLE_DEFAULT_ENCRYPTION, TYPE_UNSPECIFIED",direct_vars,3
spanner,description,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"BACKUP, TYPE_UNSPECIFIED",direct_vars,2
spanner,etag,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"CREATING, READY, STATE_UNSPECIFIED",direct_vars,3
spanner,id,string,Yes,"equals, exists, not_equals",exists,"equals, not_equals",,No value or select from list,"KIND_UNSPECIFIED, RELATIONAL, SCALAR",direct_vars,3
spanner,kind,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"KIND_UNSPECIFIED, RELATIONAL, SCALAR",direct_vars,3
spanner,labels,object,Yes,"exists, not_empty","exists, not_empty",,,No value required,"CREATING, READY, STATE_UNSPECIFIED",direct_vars,3
spanner,name,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,"CREATING, READY, STATE_UNSPECIFIED",direct_vars,3
spanner,selfLink,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"LOCK_HINT_EXCLUSIVE, LOCK_HINT_SHARED, LOCK_HINT_UNSPECIFIED",direct_vars,3
spanner,state,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"CREATING, READY, STATE_UNSPECIFIED",direct_vars,3
spanner,type,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"READ_ONLY, READ_WRITE, TYPE_UNSPECIFIED, WITNESS",direct_vars,4
