service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
vault,creationTimestamp,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"INCLUDED, INCLUDED_IF_ACCOUNT_IS_NOT_A_MEMBER, NOT_INCLUDED, SHARED_DRIVES_OPTION_UNSPECIFIED",direct_vars,4
vault,description,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"ALL_DATA, DATA_SCOPE_UNSPECIFIED, HELD_DATA, UNPROCESSED_DATA",direct_vars,4
vault,etag,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"CLOSED, DELETED, OPEN, STATE_UNSPECIFIED",direct_vars,4
vault,id,string,Yes,"equals, exists, not_equals",exists,"equals, not_equals",,No value or select from list,"ALL, COUNT_RESULT_VIEW_UNSPECIFIED, TOTAL_COUNT",direct_vars,3
vault,kind,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"ANY, EUROPE, EXPORT_REGION_UNSPECIFIED, US",direct_vars,4
vault,labels,object,Yes,"exists, not_empty","exists, not_empty",,,No value required,"CLOSED, DELETED, OPEN, STATE_UNSPECIFIED",direct_vars,4
vault,name,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,"CLOSED, DELETED, OPEN, STATE_UNSPECIFIED",direct_vars,4
vault,role,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"COLLABORATOR, OWNER, ROLE_UNSPECIFIED",direct_vars,3
vault,selfLink,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"ANY, EUROPE, EXPORT_REGION_UNSPECIFIED, US",direct_vars,4
vault,state,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"CLOSED, DELETED, OPEN, STATE_UNSPECIFIED",direct_vars,4
vault,status,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ATTENDEE_RESPONSE_ACCEPTED, ATTENDEE_RESPONSE_DECLINED, ATTENDEE_RESPONSE_NEEDS_ACTION, ATTENDEE_RESPONSE_TENTATIVE, ATTENDEE_RESPONSE_UNSPECIFIED",direct_vars,5
