service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
resource_controller,authenticator.authenticator_id,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,authenticator.authenticator_name,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,authenticator.authenticator_status,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,authenticator.created_at,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,authenticator.tags,array,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,created_at,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource_controller,crn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource_controller,enable_gzip_compression.created_at,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,enable_gzip_compression.enable_gzip_compression_id,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,enable_gzip_compression.enable_gzip_compression_name,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,enable_gzip_compression.enable_gzip_compression_status,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,enable_gzip_compression.tags,array,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,http_client.created_at,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,http_client.http_client_id,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,http_client.http_client_name,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,http_client.http_client_status,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,http_client.tags,array,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,id,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource_controller,name,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource_controller,reclamation.created_at,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,reclamation.items,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,reclamation.next_token,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,reclamation.reclamation_id,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,reclamation.reclamation_name,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,reclamation.reclamation_status,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,reclamation.tags,array,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_alia.created_at,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_alia.resource_alia_id,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_alia.resource_alia_name,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_alia.resource_alia_status,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_alia.tags,array,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_alias.created_at,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_alias.items,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_alias.next_token,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_alias.resource_alias_id,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_alias.resource_alias_name,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_alias.resource_alias_status,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_alias.tags,array,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_aliases_for_instance.created_at,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_aliases_for_instance.items,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_aliases_for_instance.next_token,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_aliases_for_instance.resource_aliases_for_instance_id,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_aliases_for_instance.resource_aliases_for_instance_name,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_aliases_for_instance.resource_aliases_for_instance_status,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_aliases_for_instance.tags,array,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_binding.created_at,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_binding.items,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_binding.next_token,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_binding.resource_binding_id,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_binding.resource_binding_name,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_binding.resource_binding_status,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_binding.tags,array,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_bindings_for_alia.created_at,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_bindings_for_alia.items,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_bindings_for_alia.next_token,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_bindings_for_alia.resource_bindings_for_alia_id,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_bindings_for_alia.resource_bindings_for_alia_name,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_bindings_for_alia.resource_bindings_for_alia_status,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_bindings_for_alia.tags,array,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_instanc.created_at,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_instanc.items,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_instanc.next_token,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_instanc.resource_instanc_id,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_instanc.resource_instanc_name,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_instanc.resource_instanc_status,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_instanc.tags,array,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_instance.created_at,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_instance.resource_instance_id,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_instance.resource_instance_name,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource_controller,resource_instance.resource_instance_status,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
