service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
osub_organization_subscription,compartment_id,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
osub_organization_subscription,defined_tags,object,No,"exists, not_empty","exists, not_empty",,,No value required,,,0
osub_organization_subscription,display_name,string,No,"contains, equals, not_empty",not_empty,,"contains, equals",No value or manual input,,,0
osub_organization_subscription,freeform_tags,object,No,"exists, not_empty","exists, not_empty",,,No value required,,,0
osub_organization_subscription,id,string,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
osub_organization_subscription,lifecycle_state,string,Yes,"equals, in, not_equals",,"equals, in, not_equals",,Select from list only,"CREATING, ACTIVE, INACTIVE, UPDATING, DELETING, DELETED, FAILED",oci_deps,7
osub_organization_subscription,ocid,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
osub_organization_subscription,organization_subscription.defined_tags,object,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
osub_organization_subscription,organization_subscription.freeform_tags,object,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
osub_organization_subscription,organization_subscription.name,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
osub_organization_subscription,organization_subscription.status,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
osub_organization_subscription,organization_subscription.time_created,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
osub_organization_subscription,time_created,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
