service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
pinpoint-email,AccountStatus,integer,Yes,"contains, equals, exists, in, not_equals, not_in",exists,"contains, equals, in, not_equals, not_in",,No value or select from list,"ACTIVE, PENDING_EXPIRATION, DISABLED",direct_vars,3
pinpoint-email,ActiveSubscribedDomains,boolean,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
pinpoint-email,CampaignId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
pinpoint-email,CloudWatchDestination,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
pinpoint-email,CreateDate,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
pinpoint-email,DashboardEnabled,boolean,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
pinpoint-email,DedicatedIpAutoWarmupEnabled,boolean,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
pinpoint-email,DedicatedIps,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
pinpoint-email,DeleteRate,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
pinpoint-email,DeliverabilityTestStatus,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"IN_PROGRESS, COMPLETED",direct_vars,2
pinpoint-email,Domain,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
pinpoint-email,DomainIspPlacements,boolean,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
pinpoint-email,Enabled,boolean,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
pinpoint-email,EnforcementStatus,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
pinpoint-email,Esps,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
pinpoint-email,FirstSeenDateTime,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
pinpoint-email,FromAddress,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
pinpoint-email,FromEmailAddress,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
pinpoint-email,IdentityName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
pinpoint-email,IdentityType,string,Yes,"equals, exists, in, not_equals, not_in",exists,"equals, in, not_equals, not_in",,No value or select from list,"EMAIL_ADDRESS, DOMAIN, MANAGED_DOMAIN",direct_vars,3
pinpoint-email,ImageUrl,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
pinpoint-email,InboxCount,integer,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
pinpoint-email,InboxPlacementTrackingOption,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
