Operation,Type,Entities Covered Count,Dependencies,Requires
"ListAnalyzers","INDEPENDENT","10","None","None"
"ListPolicyGenerations","INDEPENDENT","4","None","None"
"ListFindings","DEPENDENT","13","accessanalyzer.analyzer_arn","accessanalyzer.analyzer_arn"
"GetFindingV2","DEPENDENT","8","accessanalyzer.access_preview_id; accessanalyzer.analyzer_arn","accessanalyzer.access_preview_id; accessanalyzer.analyzer_arn"
"ListAccessPreviewFindings","DEPENDENT","3","accessanalyzer.access_preview_id; accessanalyzer.analyzer_arn","accessanalyzer.access_preview_id; accessanalyzer.analyzer_arn"
"GetAccessPreview","DEPENDENT","3","accessanalyzer.access_preview_id; accessanalyzer.analyzer_arn","accessanalyzer.access_preview_id; accessanalyzer.analyzer_arn"
"GetFindingRecommendation","DEPENDENT","3","accessanalyzer.access_preview_id; accessanalyzer.analyzer_arn","accessanalyzer.access_preview_id; accessanalyzer.analyzer_arn"
"GetFindingsStatistics","DEPENDENT","3","accessanalyzer.analyzer_arn","accessanalyzer.analyzer_arn"
"GetAnalyzedResource","DEPENDENT","2","accessanalyzer.analyzer_arn; accessanalyzer.resource_resource_arn","accessanalyzer.analyzer_arn; accessanalyzer.resource_resource_arn"
"GetGeneratedPolicy","DEPENDENT","2","accessanalyzer.policy_generation_job_id","accessanalyzer.policy_generation_job_id"
"ListArchiveRules","DEPENDENT","2","accessanalyzer.analyzer_name","accessanalyzer.analyzer_name"
"GetFinding","DEPENDENT","1","accessanalyzer.access_preview_id; accessanalyzer.analyzer_arn","accessanalyzer.access_preview_id; accessanalyzer.analyzer_arn"
"GetAnalyzer","DEPENDENT","1","accessanalyzer.analyzer_name","accessanalyzer.analyzer_name"
"GetArchiveRule","DEPENDENT","1","accessanalyzer.analyzer_name; accessanalyzer.archive_rule_rule_name","accessanalyzer.analyzer_name; accessanalyzer.archive_rule_rule_name"
