service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
cloudformation,Account,integer,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloudformation,AccountGateResult,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
cloudformation,AccountLimits,integer,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloudformation,Action,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"CREATE, UPDATE, DELETE, DETECT_DRIFT",direct_vars,4
cloudformation,ActualProperties,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloudformation,AdministrationRoleARN,string,No,"contains, equals, exists, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",exists,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",No value or manual input,,,0
cloudformation,AnnotationName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloudformation,Annotations,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
cloudformation,Arn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloudformation,AutoDeployment,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
cloudformation,AutoUpdate,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
cloudformation,Capabilities,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
cloudformation,CapabilitiesReason,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloudformation,ChangeSetId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloudformation,ChangeSetName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloudformation,ClientRequestToken,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloudformation,ConfigurationSchema,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloudformation,CreationTime,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
cloudformation,CreationTimestamp,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
cloudformation,DeclaredTransforms,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
cloudformation,DefaultValue,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloudformation,DefaultVersionId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloudformation,DeletionMode,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"STANDARD, FORCE_DELETE_STACK",direct_vars,2
cloudformation,DeletionTime,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
cloudformation,DeploymentMode,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,REVERT_DRIFT,boto3_deps,1
cloudformation,DeploymentTargets,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
cloudformation,DeprecatedStatus,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"LIVE, DEPRECATED",direct_vars,2
cloudformation,Description,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloudformation,DetailedStatus,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"CONFIGURATION_COMPLETE, VALIDATION_FAILED",direct_vars,2
cloudformation,Detection,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"AUTO, MANUAL",direct_vars,2
cloudformation,DetectionReason,string,Yes,"contains, equals, exists, in, not_equals",exists,"contains, equals, in, not_equals",,No value or select from list,"AUTO, MANUAL",boto3_deps,2
cloudformation,DetectionStatus,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"DETECTION_COMPLETE, DETECTION_FAILED, DETECTION_IN_PROGRESS",boto3_deps,3
cloudformation,DetectionStatusReason,string,Yes,"contains, equals, exists, gt, gte, in, lt, lte, not_equals",exists,"contains, equals, gt, gte, in, lt, lte, not_equals",,No value or select from list,"ACTIVE, AUTO, CANCELLED, COMPLETE, CREATE_COMPLETE, CREATE_FAILED, CREATE_IN_PROGRESS, CREATE_PENDING, CURRENT, DELETED, DELETE_COMPLETE, DELETE_FAILED, DELETE_IN_PROGRESS, DELETE_PENDING, DETECTION_COMPLETE, DETECTION_FAILED, DETECTION_IN_PROGRESS, DISABLED, DISABLED_PERMANENTLY, ENABLED, EXPIRED, FAILED, HOOK_COMPLETE_FAILED, HOOK_COMPLETE_SUCCEEDED, HOOK_FAILED, HOOK_IN_PROGRESS, INOPERABLE, IN_PROGRESS, MANUAL, OUTDATED, PASSED, PENDING, PLANNED, PLANNING, QUEUED, RUNNING, SKIPPED, STOPPED, STOPPING, SUCCEEDED, UNAVAILABLE, UPDATE_IN_PROGRESS, UPDATE_PENDING",boto3_deps,43
cloudformation,DisableRollback,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
cloudformation,DocumentationUrl,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloudformation,DriftInformation,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
cloudformation,DriftStatus,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"DRIFTED, IN_SYNC, UNKNOWN, NOT_CHECKED",direct_vars,4
cloudformation,DriftStatusReason,string,Yes,"contains, equals, exists, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",exists,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,No value or select from list,"ACTIVE, CANCELLED, COMPLETE, CREATE_COMPLETE, CREATE_FAILED, CREATE_IN_PROGRESS, CREATE_PENDING, CURRENT, DELETED, DELETE_COMPLETE, DELETE_FAILED, DELETE_IN_PROGRESS, DELETE_PENDING, DISABLED, DISABLED_PERMANENTLY, DRIFTED, ENABLED, EXPIRED, FAILED, HOOK_COMPLETE_FAILED, HOOK_COMPLETE_SUCCEEDED, HOOK_FAILED, HOOK_IN_PROGRESS, INOPERABLE, IN_PROGRESS, IN_SYNC, NOT_CHECKED, OUTDATED, PASSED, PENDING, PLANNED, PLANNING, QUEUED, RUNNING, SKIPPED, STOPPED, STOPPING, SUCCEEDED, UNAVAILABLE, UNKNOWN, UPDATE_IN_PROGRESS, UPDATE_PENDING",boto3_deps,42
