service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
network-firewall,Action,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"ALLOW, DENY, ALERT",direct_vars,3
network-firewall,Age,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
network-firewall,AnalysisReportId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
network-firewall,AnalysisType,boolean,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"TLS_SNI, HTTP_HOST",direct_vars,2
network-firewall,Arn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
network-firewall,AvailabilityZoneChangeProtection,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
network-firewall,AvailabilityZoneMappings,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
network-firewall,ByteCount,integer,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
network-firewall,Conditions,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
network-firewall,ConsumedStatefulRuleCapacity,string,No,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",Manual input only,,,0
network-firewall,ConsumedStatelessRuleCapacity,string,No,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",Manual input only,,,0
network-firewall,CreateTime,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
