service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
apigee,creationTimestamp,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"ASCENDING, DESCENDING, ORDER_UNSPECIFIED",direct_vars,3
apigee,description,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"ASCENDING, DESCENDING, ORDER_UNSPECIFIED",direct_vars,3
apigee,etag,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"FINISHED, IN_PROGRESS, NOT_STARTED, STATE_UNSPECIFIED",direct_vars,4
apigee,format,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"FORMAT_UNSPECIFIED, JSON, YAML",direct_vars,3
apigee,id,string,Yes,"equals, exists, not_equals",exists,"equals, not_equals",,No value or select from list,"DAY_OF_WEEK_UNSPECIFIED, FRIDAY, MONDAY, SATURDAY, SUNDAY, THURSDAY, TUESDAY, WEDNESDAY",direct_vars,8
apigee,kind,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"DAY, HOUR, MINUTE, MONTH, WINDOW_SIZE_UNSPECIFIED",direct_vars,5
apigee,labels,object,Yes,"exists, not_empty","exists, not_empty",,,No value required,"OFF, PROBABILITY, SAMPLER_UNSPECIFIED",direct_vars,3
apigee,logType,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ADMIN_READ, DATA_READ, DATA_WRITE, LOG_TYPE_UNSPECIFIED",direct_vars,4
apigee,log_type,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ADMIN_READ, DATA_READ, DATA_WRITE, LOG_TYPE_UNSPECIFIED",direct_vars,4
apigee,name,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,"INTERNAL_SYSTEM, NAT, NON_RISK_CLIENT, OTHER, PENETRATION_TEST, REASON_UNSPECIFIED",direct_vars,6
apigee,selfLink,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"LOW, MODERATE, RISK_LEVEL_UNSPECIFIED, SEVERE",direct_vars,4
apigee,state,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ACTIVE, CREATING, DELETING, STATE_UNSPECIFIED, UPDATING",direct_vars,5
apigee,type,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"API_PROXY_TYPE_UNSPECIFIED, CONFIGURABLE, PROGRAMMABLE",direct_vars,3
