service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
identitytoolkit,creationTimestamp,string,No,"contains, equals, in, not_equals, not_in",,,"contains, equals, in, not_equals, not_in",Manual input only,,,0
identitytoolkit,description,string,No,"contains, equals, in, not_equals, not_in",,,"contains, equals, in, not_equals, not_in",Manual input only,,,0
identitytoolkit,etag,string,No,"contains, equals, in, not_equals, not_in",,,"contains, equals, in, not_equals, not_in",Manual input only,,,0
identitytoolkit,id,string,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
identitytoolkit,kind,string,Yes,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists","contains, equals, in, not_equals, not_in",,No value or select from list,"DOMAIN_UNSPECIFIED, FIREBASE_DYNAMIC_LINK_DOMAIN, HOSTING_DOMAIN",direct_vars,3
identitytoolkit,labels,object,No,"exists, not_empty","exists, not_empty",,,No value required,,,0
identitytoolkit,logType,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ADMIN_READ, DATA_READ, DATA_WRITE, LOG_TYPE_UNSPECIFIED",direct_vars,4
identitytoolkit,log_type,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ADMIN_READ, DATA_READ, DATA_WRITE, LOG_TYPE_UNSPECIFIED",direct_vars,4
identitytoolkit,name,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
identitytoolkit,selfLink,string,No,"contains, equals, exists, in, not_equals, not_exists, not_in","exists, not_exists",,"contains, equals, in, not_equals, not_in",No value or manual input,,,0
identitytoolkit,state,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"ENFORCE, OFF, PASSWORD_POLICY_ENFORCEMENT_STATE_UNSPECIFIED",direct_vars,3
identitytoolkit,type,string,Yes,"equals, not_equals",,"equals, not_equals",,Select from list only,"CLIENT_TYPE_ANDROID, CLIENT_TYPE_IOS, CLIENT_TYPE_UNSPECIFIED, CLIENT_TYPE_WEB",direct_vars,4
