service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
compute_instance_agent,compartment_id,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
compute_instance_agent,defined_tags,object,No,"exists, not_empty","exists, not_empty",,,No value required,,,0
compute_instance_agent,display_name,string,No,"contains, equals, not_empty",not_empty,,"contains, equals",No value or manual input,,,0
compute_instance_agent,freeform_tags,object,No,"exists, not_empty","exists, not_empty",,,No value required,,,0
compute_instance_agent,id,string,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
compute_instance_agent,instanceagent_available_plugin.defined_tags,object,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
compute_instance_agent,instanceagent_available_plugin.freeform_tags,object,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
compute_instance_agent,instanceagent_available_plugin.name,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
compute_instance_agent,instanceagent_available_plugin.status,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
compute_instance_agent,instanceagent_available_plugin.time_created,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
compute_instance_agent,lifecycle_state,string,Yes,"equals, in, not_equals",,"equals, in, not_equals",,Select from list only,"CREATING, ACTIVE, INACTIVE, UPDATING, DELETING, DELETED, FAILED",oci_deps,7
compute_instance_agent,ocid,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
compute_instance_agent,time_created,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
